Page Name,URL,Category,Links,Clickables,Dropdowns,Screenshot
"communications","https://us02.procore.com/562949954728542/project/communications","emails",24,6,7,"pages/communications/screenshot.png"
"new","https://us02.procore.com/562949954728542/project/communications/new","emails",8,25,12,"pages/new/screenshot.png"
"communications_sent","https://us02.procore.com/562949954728542/project/communications?view=sent","emails",24,6,7,"pages/communications_sent/screenshot.png"
"communications_received","https://us02.procore.com/562949954728542/project/communications?view=received","emails",24,6,7,"pages/communications_received/screenshot.png"
"communications_all","https://us02.procore.com/562949954728542/project/communications?view=all","emails",24,6,7,"pages/communications_all/screenshot.png"
"home","https://us02.procore.com/562949954728542/project/home","emails",17,3,1,"pages/home/screenshot.png"
"conversations","https://us02.procore.com/562949954728542/project/conversations","emails",5,2,1,"pages/conversations/screenshot.png"
"emails","https://support.procore.com/products/online/user-guide/project-level/emails","emails",71,11,75,"pages/emails/screenshot.png"
"configure_tab","https://us02.procore.com/562949954728542/project/communications/configure_tab","emails",8,4,1,"pages/configure_tab/screenshot.png"
"communications?filter_mode=inbox","https://us02.procore.com/562949954728542/project/communications?filter_mode=inbox","emails",23,6,7,"pages/communications_filter_mode_inbox/screenshot.png"
"communications?filter_mode=archive","https://us02.procore.com/562949954728542/project/communications?filter_mode=archive","emails",14,6,2,"pages/communications_filter_mode_archive/screenshot.png"
"communications?filter_mode=all","https://us02.procore.com/562949954728542/project/communications?filter_mode=all","emails",23,6,7,"pages/communications_filter_mode_all/screenshot.png"
"communications?filter_mode=spam","https://us02.procore.com/562949954728542/project/communications?filter_mode=spam","emails",13,6,2,"pages/communications_filter_mode_spam/screenshot.png"
"communications?filter_mode=recycle_bin","https://us02.procore.com/562949954728542/project/communications?filter_mode=recycle_bin","emails",14,6,2,"pages/communications_filter_mode_recycle_bin/screenshot.png"
"new_inline_reply?locale=en","https://us02.procore.com/562949954728542/project/communications/562949976407783/new_inline_reply?locale=en","emails",0,1,0,"pages/new_inline_reply_locale_en/screenshot.png"
"toggle_private","https://us02.procore.com/562949954728542/project/communications/562949976407783/toggle_private","emails",1,0,0,"pages/toggle_private/screenshot.png"
"toggle_open","https://us02.procore.com/562949954728542/project/communications/562949976407783/toggle_open","emails",1,0,0,"pages/toggle_open/screenshot.png"
"toggle_hidden","https://us02.procore.com/562949954728542/project/communications/562949976407783/toggle_hidden","emails",1,0,0,"pages/toggle_hidden/screenshot.png"
"new?origin_global_id=Z2lkOi8vcHJvY29yZS9Db21tdW5pY2F0aW9uVGhyZWFkLzU2Mjk0OTk3NzM4MDU4OQ","https://us02.procore.com/562949954728542/project/change_events/events/new?origin_global_id=Z2lkOi8vcHJvY29yZS9Db21tdW5pY2F0aW9uVGhyZWFkLzU2Mjk0OTk3NzM4MDU4OQ","emails",7,2,1,"pages/new_origin_global_id_z2lkoi8vchjvy29yzs9db21tdw5py2f0aw9uvghyzwfklzu2mjk0otk3nzm4mdu4oq/screenshot.png"
"view_ecrion_pdf","https://us02.procore.com/562949954728542/project/communications/562949976407783/view_ecrion_pdf","emails",0,0,0,"pages/view_ecrion_pdf/screenshot.png"
"forward","https://us02.procore.com/562949954728542/project/communications/562949977380589/forward","emails",9,25,12,"pages/forward/screenshot.png"
"mark_thread_as_spam?is_spam=true","https://us02.procore.com/562949954728542/project/communications/562949977380589/mark_thread_as_spam?is_spam=true","emails",1,0,0,"pages/mark_thread_as_spam_is_spam_true/screenshot.png"
"new","https://us02.procore.com/562949954728542/project/communication/new","emails",8,25,12,"pages/new/screenshot.png"
"fancybox_add_tag","https://us02.procore.com/562949954728542/project/communications/fancybox_add_tag","emails",0,1,0,"pages/fancybox_add_tag/screenshot.png"
"configure_tab","https://us02.procore.com/562949954728542/project/home/configure_tab","emails",8,25,4,"pages/configure_tab/screenshot.png"
"configure_tab","https://us02.procore.com/562949954728542/project/directory/configure_tab","emails",8,8,1,"pages/configure_tab/screenshot.png"
"ajax_overview_details","https://us02.procore.com/562949954728542/project/home/ajax_overview_details","emails",1,0,0,"pages/ajax_overview_details/screenshot.png"
"ajax_overview_details?domain_name=calendar&filter=overdue&row_models%5B%5D=Task&row_models%5B%5D=TodoItem&row_title=Schedule","https://us02.procore.com/562949954728542/project/home/ajax_overview_details?domain_name=calendar&filter=overdue&row_models%5B%5D=Task&row_models%5B%5D=TodoItem&row_title=Schedule","emails",56,0,0,"pages/ajax_overview_details_domain_name_calendar_filter_overdue_row_models_5b_5d_task_row_models_5b_5d_todoitem_row_title_schedule/screenshot.png"
"ajax_overview_details?domain_name=punch_list&filter=overdue&row_models%5B%5D=PunchItem&row_title=Punch+List","https://us02.procore.com/562949954728542/project/home/ajax_overview_details?domain_name=punch_list&filter=overdue&row_models%5B%5D=PunchItem&row_title=Punch+List","emails",10,0,0,"pages/ajax_overview_details_domain_name_punch_list_filter_overdue_row_models_5b_5d_punchitem_row_title_punch_list/screenshot.png"
"ajax_overview_details?domain_name=meetings&filter=overdue&row_models%5B%5D=MeetingTopic&row_title=Meetings","https://us02.procore.com/562949954728542/project/home/ajax_overview_details?domain_name=meetings&filter=overdue&row_models%5B%5D=MeetingTopic&row_title=Meetings","emails",6,0,0,"pages/ajax_overview_details_domain_name_meetings_filter_overdue_row_models_5b_5d_meetingtopic_row_title_meetings/screenshot.png"
"ajax_overview_details?domain_name=meetings&filter=open&row_models%5B%5D=MeetingTopic&row_title=Meetings","https://us02.procore.com/562949954728542/project/home/ajax_overview_details?domain_name=meetings&filter=open&row_models%5B%5D=MeetingTopic&row_title=Meetings","emails",40,0,0,"pages/ajax_overview_details_domain_name_meetings_filter_open_row_models_5b_5d_meetingtopic_row_title_meetings/screenshot.png"
"562949972597337","https://us02.procore.com/562949954728542/project/meetings/show_meeting_topic/562949972597337","emails",11,12,2,"pages/562949972597337/screenshot.png"
"ajax_weather_forecast","https://us02.procore.com/562949954728542/project/home/ajax_weather_forecast","emails",0,0,0,"pages/ajax_weather_forecast/screenshot.png"
"emails-project","https://v2.support.procore.com/product-manuals/emails-project/","emails",68,11,75,"pages/emails-project/screenshot.png"
"emails-project","https://v2.support.procore.com/product-manuals/emails-project","emails",69,11,75,"pages/emails-project/screenshot.png"
"tutorials","https://v2.support.procore.com/product-manuals/emails-project/tutorials","emails",93,11,75,"pages/tutorials/screenshot.png"
"faq-or-troubleshooting","https://v2.support.procore.com/product-manuals/emails-project/faq-or-troubleshooting","emails",80,11,75,"pages/faq-or-troubleshooting/screenshot.png"
"videos","https://v2.support.procore.com/product-manuals/emails-project/videos","emails",70,20,75,"pages/videos/screenshot.png"
"permissions","https://v2.support.procore.com/product-manuals/emails-project/permissions","emails",71,11,75,"pages/permissions/screenshot.png"
"email","https://community.procore.com/s/global-search/email","emails",8,25,19,"pages/email/screenshot.png"
"new-communication-settings-in-the-emails-tool","https://support.procore.com/product-releases/new-releases/new-communication-settings-in-the-emails-tool","emails",46,24,9,"pages/new-communication-settings-in-the-emails-tool/screenshot.png"
"directory","https://us02.procore.com/562949954728542/project/directory","emails",165,73,7,"pages/directory/screenshot.png"
"562950015601415","https://us02.procore.com/562949954728542/project/calendar/tasks/562950015601415","emails",11,3,2,"pages/562950015601415/screenshot.png"
"562950015601413","https://us02.procore.com/562949954728542/project/calendar/tasks/562950015601413","emails",11,29,8,"pages/562950015601413/screenshot.png"
"562950015601418","https://us02.procore.com/562949954728542/project/calendar/tasks/562950015601418","emails",11,29,7,"pages/562950015601418/screenshot.png"
"562950015601419","https://us02.procore.com/562949954728542/project/calendar/tasks/562950015601419","emails",11,29,7,"pages/562950015601419/screenshot.png"
"562950015601420","https://us02.procore.com/562949954728542/project/calendar/tasks/562950015601420","emails",11,29,8,"pages/562950015601420/screenshot.png"
"562950015601422","https://us02.procore.com/562949954728542/project/calendar/tasks/562950015601422","emails",11,27,7,"pages/562950015601422/screenshot.png"
"562950015601430","https://us02.procore.com/562949954728542/project/calendar/tasks/562950015601430","emails",11,29,7,"pages/562950015601430/screenshot.png"
